ImageNum    Precision Recall
  1.00   0.00000000   0.00
  2.00   0.00000000   0.00
  3.00   0.05000000   0.50
  4.00   0.00000000   0.00
  5.00   0.00000000   0.00
  6.00   0.00000000   0.00
  7.00   0.00000000   0.00
  8.00   0.00000000   0.00
  9.00   0.00000000   0.00
 10.00   0.00000000   0.00
 11.00   0.05000000   0.25
 12.00   0.00000000   0.00
 13.00   0.00000000   0.00
